,Date/Time,Load,Bill Before Solar,Solar,Net Load,Bill Solar Only,Import Rate,Export Rate,basic storage,soc
166, 01/07  23:00:00,1.72615204281,0.134294628931,0.0,1.72615204281,0.134294628931,0.0778,0.0478,0.0,-0.11764889531
167, 01/07  24:00:00,1.33540424445,0.103894450218,0.0,1.33540424445,0.103894450218,0.0778,0.0478,0.0,-0.11764889531
168, 01/08  01:00:00,0.960834131178,0.0747528954056,0.0,0.960834131178,0.0747528954056,0.0778,0.0478,0.0,-0.11764889531
169, 01/08  02:00:00,0.819563397605,0.0637620323337,0.0,0.819563397605,0.0637620323337,0.0778,0.0478,0.0,-0.11764889531
170, 01/08  03:00:00,0.784679155677,0.0610480383117,0.0,0.784679155677,0.0610480383117,0.0778,0.0478,0.0,-0.11764889531
171, 01/08  04:00:00,0.780519001863,0.0607243783449,0.0,0.780519001863,0.0607243783449,0.0778,0.0478,0.0,-0.11764889531
172, 01/08  05:00:00,0.785197622431,0.0610883750251,0.0,0.785197622431,0.0610883750251,0.0778,0.0478,0.0,-0.11764889531
173, 01/08  06:00:00,0.861056523945,0.0669901975629,0.0,0.861056523945,0.0669901975629,0.0778,0.0478,0.0,-0.11764889531
174, 01/08  07:00:00,1.15370089104,0.0897579293229,0.0,1.15370089104,0.0897579293229,0.0778,0.0478,0.0,-0.11764889531
175, 01/08  08:00:00,1.53603519313,0.119503538026,0.296903,1.23913219313,0.0964044846255,0.0778,0.0478,0.0,-0.11764889531
176, 01/08  09:00:00,1.43447382659,0.0790251631068,1.375841,0.05863282659,0.00323008241684,0.05509,0.02509,0.0,-0.11764889531
177, 01/08  10:00:00,1.1878880894,0.065440754845,2.506859,-1.3189709106,-0.033092980147,0.05509,0.02509,-1.3189709106,0.0241759337871
178, 01/08  11:00:00,1.14495207215,0.0630754096547,3.070569,-1.92561692785,-0.0483137287198,0.05509,0.02509,-1.92561692785,0.231231517427
179, 01/08  12:00:00,1.12607905014,0.0620356948722,3.356701,-2.23062194986,-0.055966304722,0.05509,0.02509,-2.23062194986,0.471083339992
180, 01/08  13:00:00,1.08792640396,0.0599338655942,3.566505,-2.47857859604,-0.0621875369746,0.05509,0.02509,-2.47857859604,0.737597167524
