,Date/Time,Load,Bill Before Solar,Solar,Net Load,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,savings,yearly total savings
85, 01/04  14:00:00,1.00604036756,0.0554227638489,2.875966,-1.86992563244,-0.0469164341179,0.05509,0.02509,-1.86992563244,1.05481628039,-1.81450286859,1463.74310634
86, 01/04  15:00:00,1.00949284344,0.0556129607451,2.105123,-1.09563015656,-0.0274893606281,0.05509,0.02509,0.0,1.05481628039,0.0556129607451,1463.74310634
87, 01/04  16:00:00,1.0965185483,0.0604072068258,1.469843,-0.3733244517,-0.00936671049315,0.05509,0.02509,0.0,1.05481628039,0.0604072068258,1463.74310634
88, 01/04  17:00:00,1.41303662389,0.248242274085,0.258709,1.15432762389,0.202792276965,0.17568,0.14568,1.15432762389,0.938380227073,1.40256989797,1463.74310634
89, 01/04  18:00:00,2.00755952442,0.35268805725,0.0,2.00755952442,0.35268805725,0.17568,0.14568,2.00755952442,0.735879391973,2.36024758167,1463.74310634
90, 01/04  19:00:00,2.42940264369,0.426797456443,0.0,2.42940264369,0.426797456443,0.17568,0.14568,2.42940264369,0.490827597416,2.85620010013,1463.74310634
91, 01/04  20:00:00,2.40449834834,0.422422269836,0.0,2.40449834834,0.422422269836,0.17568,0.14568,2.40449834834,0.248287878114,2.82692061818,1463.74310634
92, 01/04  21:00:00,2.22099285191,0.390184024224,0.0,2.22099285191,0.390184024224,0.17568,0.14568,2.22099285191,0.0242582033818,2.61117687613,1463.74310634
93, 01/04  22:00:00,2.02738113528,0.157730252325,0.0,2.02738113528,0.157730252325,0.0778,0.0478,0.0,0.0242582033818,0.157730252325,1463.74310634
94, 01/04  23:00:00,1.66312940746,0.1293914679,0.0,1.66312940746,0.1293914679,0.0778,0.0478,0.0,0.0242582033818,0.1293914679,1463.74310634
95, 01/04  24:00:00,1.30290534583,0.101366035906,0.0,1.30290534583,0.101366035906,0.0778,0.0478,0.0,0.0242582033818,0.101366035906,1463.74310634
96, 01/05  01:00:00,0.941239426183,0.073228427357,0.0,0.941239426183,0.073228427357,0.0778,0.0478,0.0,0.0242582033818,0.073228427357,1463.74310634
97, 01/05  02:00:00,0.807665722883,0.0628363932403,0.0,0.807665722883,0.0628363932403,0.0778,0.0478,0.0,0.0242582033818,0.0628363932403,1463.74310634
98, 01/05  03:00:00,0.761596855133,0.0592522353293,0.0,0.761596855133,0.0592522353293,0.0778,0.0478,0.0,0.0242582033818,0.0592522353293,1463.74310634
99, 01/05  04:00:00,0.755933917937,0.0588116588155,0.0,0.755933917937,0.0588116588155,0.0778,0.0478,0.0,0.0242582033818,0.0588116588155,1463.74310634
100, 01/05  05:00:00,0.763437064941,0.0593954036524,0.0,0.763437064941,0.0593954036524,0.0778,0.0478,0.0,0.0242582033818,0.0593954036524,1463.74310634
101, 01/05  06:00:00,0.827445830423,0.0643752856069,0.0,0.827445830423,0.0643752856069,0.0778,0.0478,0.0,0.0242582033818,0.0643752856069,1463.74310634
102, 01/05  07:00:00,1.09326185107,0.0850557720132,0.0,1.09326185107,0.0850557720132,0.0778,0.0478,0.0,0.0242582033818,0.0850557720132,1463.74310634
103, 01/05  08:00:00,1.49992001209,0.116693776941,0.294667,1.20525301209,0.0937686843406,0.0778,0.0478,0.0,0.0242582033818,0.116693776941,1463.74310634
104, 01/05  09:00:00,1.40469998,0.0773849218982,1.369073,0.03562698,0.0019626903282,0.05509,0.02509,0.0,0.0242582033818,0.0773849218982,1463.74310634
105, 01/05  10:00:00,1.18018494044,0.0650163883688,2.300999,-1.12081405956,-0.0281212247544,0.05509,0.02509,-1.12081405956,0.137313771743,-1.05579767119,1463.74310634
